"Osnovni podatki o sklenitvah zakonskih zvez po: LETO , MERITVE"

" ";"Sklenitve zakonskih zvez - Skupaj";"Prve sklenitve zakonskih zvez ženina";"Prve sklenitve zakonskih zvez neveste";"Povprečna starost ženina ob sklenitvi zakonske zveze";"Povprečna starost neveste ob sklenitvi zakonske zveze";"Povprečna starost ženina ob sklenitvi prve zakonske zveze";"Povprečna starost neveste ob prvi sklenitvi zakonske zveze"
"1990";8517;7637;7701;28.7;25.4;26.6;23.8
"1991";8173;7391;7416;28.6;25.6;26.8;24.0
"1992";9119;8132;8137;29.3;26.1;27.1;24.2
"1993";9022;7979;8003;30.0;26.7;27.6;24.7
"1994";8314;7357;7412;30.2;26.9;27.7;24.9
"1995";8245;7354;7426;30.1;26.9;27.9;25.2
"1996";7555;6718;6776;30.4;27.2;28.2;25.4
"1997";7500;6702;6699;30.7;27.6;28.5;25.6
"1998";7528;6753;6784;30.9;27.8;28.8;25.9
"1999";7716;6957;6945;31.3;28.1;29.1;26.0
"2000";7201;6498;6497;31.4;28.4;29.4;26.6
"2001";6935;6302;6290;31.8;28.8;29.6;27.0
"2002";7064;6332;6339;32.3;29.2;30.1;27.4
"2003";6756;6078;6135;32.3;29.2;30.1;27.5
"2004";6558;5897;5922;32.6;29.6;30.3;27.8
"2005";5769;5236;5349;33.0;29.8;30.6;28.2
"2006";6368;5684;5799;32.8;30.0;30.6;28.1
"2007";6373;5569;5687;33.2;30.3;30.9;28.3
"2008";6703;5716;5904;33.2;30.2;30.9;28.4
"2009";6542;5852;5917;33.1;30.3;30.7;28.3
"2010";6528;5800;5865;33.8;30.8;31.2;28.6
"2011";6671;5966;6029;34.1;31.2;31.4;29.1
"2012";7057;6315;6311;34.4;31.5;31.5;29.2
"2013";6254;5600;5663;34.5;31.6;31.6;29.2
"2014";6571;5874;5937;34.5;31.8;31.6;29.4
"2015";6449;5768;5794;34.8;32.1;32.0;29.7
"2016";6667;5918;5955;35.3;32.6;31.9;30.0
"2017";6481;5851;5827;35.3;32.7;32.2;30.1

"Vir: Statistični urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=9490 target=_blank) Metodološka pojasnila"

"Sklenjena zakonska zveza je zveza, ki je bila sklenjena skladno z "
"veljavnimi zakonskimi predpisi in sta jo sklenili dve osebi "
"različnega spola."

"Prva sklenjena zakonska zveza ženina je zveza, ki je bila sklenjena "
"skladno z veljavnimi predpisi in sta jo sklenila samski moški in "
"samska, ovdovela ali razvezana ženska."

"Prva sklenjena zakonska zveza neveste je zveza, ki je bila sklenjena "
"skladno z veljavnimi predpisi in sta jo sklenila samska ženska in "
"samski, ovdovel ali razvezan moški."

"Povprečna starost je tehtana aritmetična sredina starosti ženinov. "
"Izračunavamo jo iz absolutnih podatkov. Pri izračunu upoštevamo kot "
"uteži sredine starostnih razredov."

"Povprečna starost je tehtana aritmetična sredina starosti nevest. "
"Izračunavamo jo iz absolutnih podatkov. Pri izračunu upoštevamo kot "
"uteži sredine starostnih razredov."

