"Osnovni podatki in kazalniki o razvezah zakonskih zvez po: LETO ,"
"MERITVE"

" ";"Trajanje zakonske zveze pod 1 leto";"Trajanje zakonske zveze 1-4 leta";"Trajanje zakonske zveze 5-9 let";"Trajanje zakonske zveze 10-14 let";"Trajanje zakonske zveze 15 let ali več";"Razveze zakonskih zvez z otroki";"Razveze zakonskih zvez brez otrok"
"1990";28;365;479;394;592;1332;526
"1991";34;370;429;403;592;1308;520
"1992";34;379;507;360;686;1387;579
"1993";33;380;445;389;715;1360;602
"1994";14;335;451;358;765;1354;569
"1995";12;225;332;323;693;1055;530
"1996";10;314;449;374;857;1362;642
"1997";10;297;418;378;893;1325;671
"1998";17;313;450;389;905;1359;715
"1999";18;286;421;386;963;1345;729
"2000";31;268;426;384;1016;1340;785
"2001";17;292;418;424;1123;1418;856
"2002";29;343;487;404;1194;1482;975
"2003";19;329;439;434;1240;1476;985
"2004";31;330;437;402;1211;1364;1047
"2005";29;345;506;416;1351;1500;1147
"2006";23;313;433;349;1216;1301;1033
"2007";30;380;487;417;1303;1348;1269
"2008";25;326;419;352;1124;1259;987
"2009";17;342;455;385;1098;1308;989
"2010";29;374;445;380;1202;1273;1157
"2011";24;377;432;321;1144;1186;1112
"2012";25;403;452;388;1241;1267;1242
"2013";28;374;451;369;1129;1511;840
"2014";17;396;491;349;1216;1238;1231
"2015";32;459;486;318;1137;1205;1227
"2016";33;424;507;383;1184;1269;1262
"2017";40;384;489;358;1116;1208;1179



